narration,amount,merchant,merchant_frequency,is_recurring,cadence
RTGS-Caltex-REF636843,2104.55,Caltex,20,0,one-time
UPI-Unacademy-REF978424,3511.77,Unacademy,20,0,one-time
RECURRING-QUARTERLY-NEFT-Moneycontrol-REF994136,36864.69,Moneycontrol,20,1,quarterly
CARD-BookMyShow-REF836537,385.47,BookMyShow,20,0,one-time
IMPS-Shell-REF672714,1007.8,Shell,38,0,one-time
IMPS-IOC-REF356177,820.77,IOC,20,0,one-time
UPI-Indigo-REF785235,760.11,Indigo,32,0,one-time
RECURRING-WEEKLY-RTGS-KFC-REF832593,691.57,KFC,32,1,weekly
RECURRING-WEEKLY-RECURRING-MONTHLY-NACH-Hotstar-REF571422,380.75,Hotstar,20,1,weekly
IMPS-PERSON B-131588,50784.6,,229,0,one-time
NEFT-BESCOM-REF811948,4385.07,BESCOM,29,0,one-time
RECURRING-DAILY-IMPS-Starbucks-REF959549,763.91,Starbucks,33,1,daily
NEFT-Netflix-REF216299,376.89,Netflix,47,0,one-time
IMPS-PERSON B-050043,9728.67,Myntra,43,0,one-time
CARD-45824404,713.0,Swiggy,34,0,one-time
RECURRING-MONTHLY-IMPS-Flipkart-REF212597,3056.65,Flipkart,34,1,monthly
UPI-Zerodha-REF436644,9822.08,Zerodha,35,0,one-time
IMPS-Paytm-REF746363,1146.38,Paytm,20,0,one-time
UPI-LANDLORD-4440579875@okhdfcbank,31082.18,,270,0,one-time
RECURRING-MONTHLY-RECURRING-MONTHLY-UPI-JOHN DOE-1424039274@okhdfcbank,127383.86,,248,1,monthly
RECURRING-MONTHLY-NEFT-Byju's-REF653801,3178.34,Byju's,20,1,monthly
CARD-Razorpay-REF615324,49365.19,Razorpay,20,0,one-time
RTGS-Prime Video-REF534638,946.93,Prime Video,40,0,one-time
RECURRING-MONTHLY-RECURRING-MONTHLY-NACH-BigBasket-REF515552,1253.82,BigBasket,42,1,monthly
RECURRING-WEEKLY-RECURRING-QUARTERLY-RTGS-Zomato-REF402418,263.95,Zomato,28,1,weekly
NEFT-BSNL-REF249917,5163.44,BSNL,20,0,one-time
NACH-PRIME VIDEO-195966,26855.46,Prime Video,40,0,one-time
CARD-48398209,36232.32,BESCOM,29,0,one-time
UPI-Fortis-REF227245,5569.81,Fortis,32,0,one-time
NACH-FLIPKART-007384,40436.22,Flipkart,30,0,one-time
RECURRING-QUARTERLY-RECURRING-MONTHLY-NACH-Zomato-REF400128,1109.78,Zomato,28,1,quarterly
RECURRING-QUARTERLY-RECURRING-WEEKLY-RTGS-CRED-REF117455,37812.08,CRED,37,1,quarterly
NEFT-EMPLOYER-REF675845,40323.64,,270,0,one-time
CARD-51908834,1602.19,Apollo,40,0,one-time
RECURRING-QUARTERLY-RECURRING-MONTHLY-NEFT-Moneycontrol-REF608145,32297.44,Moneycontrol,20,1,quarterly
RECURRING-MONTHLY-UPI-Prime Video-REF843235,323.67,Prime Video,40,1,monthly
RECURRING-MONTHLY-RTGS-Cure.fit-REF279711,1285.68,Cure.fit,18,1,monthly
RECURRING-MONTHLY-RECURRING-MONTHLY-RTGS-IRCTC-REF715811,9754.67,IRCTC,20,1,monthly
RECURRING-MONTHLY-UPI-SPOTIFY-2772693993@ybl-502678,682.41,Spotify,48,1,monthly
IMPS-Kuvera-REF858669,19652.19,Kuvera,27,0,one-time
CARD-UberEats-REF335056,727.84,UberEats,30,0,one-time
RECURRING-MONTHLY-IMPS-Skyscanner-REF383629,3256.58,Skyscanner,29,1,monthly
RECURRING-MONTHLY-RECURRING-MONTHLY-NEFT-BookMyShow-REF860483,832.93,BookMyShow,20,1,monthly
RECURRING-MONTHLY-NEFT-Byju's-REF474361,3018.65,Byju's,20,1,monthly
NACH-PROVIDER-942221,39275.59,,270,0,one-time
RECURRING-MONTHLY-UPI-JOHN DOE-4982519826@okhdfcbank,84675.01,,270,1,monthly
NACH-Kuvera-REF948640,21687.7,Kuvera,27,0,one-time
IMPS-PERSON B-805943,32821.89,Amazon,33,0,one-time
NACH-BESCOM-679448,39968.9,BESCOM,32,0,one-time
RECURRING-MONTHLY-NEFT-Uber-REF396992,1860.53,Uber,20,1,monthly
UPI-Upstox-REF302560,44860.96,Upstox,20,0,one-time
CARD-68953184,21215.23,,270,0,one-time
RECURRING-MONTHLY-NACH-PROVIDER-420931,823.81,,270,1,monthly
UPI-HDFC Life-REF177120,6728.13,HDFC Life,29,0,one-time
NACH-CRED-REF824223,30378.04,CRED,37,0,one-time
NEFT-EMPLOYER-REF196987,17484.45,,308,0,one-time
RECURRING-DAILY-RTGS-Groww-REF528213,6361.3,Groww,26,1,daily
RECURRING-MONTHLY-IMPS-Blinkit-REF131191,1298.87,Blinkit,35,1,monthly
NEFT-EMPLOYER-REF104021,35327.44,,293,0,one-time
UPI-CRED-5575686511@ybl-669703,21888.57,CRED,37,0,one-time
RECURRING-MONTHLY-CARD-OYO-REF671601,6591.16,OYO,33,1,monthly
UPI-Coursera-REF843905,3255.88,Coursera,31,0,one-time
RECURRING-QUARTERLY-CARD-Zerodha-REF957445,24975.35,Zerodha,32,1,quarterly
RTGS-Medibuddy-REF461242,1952.36,Medibuddy,20,0,one-time
RTGS-FLIPKART-REF832535,41019.13,Flipkart,33,0,one-time
RECURRING-MONTHLY-UPI-ICICI PRU-5105578047@ybl-759256,9101.56,ICICI Pru,35,1,monthly
RTGS-Caltex-REF800550,1909.63,Caltex,20,0,one-time
NEFT-Netflix-REF216299,395.71,Netflix,47,0,one-time
RECURRING-WEEKLY-IMPS-Spotify-REF320044,232.72,Spotify,57,1,weekly
UPI-ZERODHA-4840683305@ybl-887967,2103.74,Zerodha,32,0,one-time
RECURRING-MONTHLY-IMPS-ICICI Pru-REF878773,9097.04,ICICI Pru,35,1,monthly
RECURRING-DAILY-RECURRING-QUARTERLY-IMPS-Bajaj Allianz-REF388839,2847.92,Bajaj Allianz,20,1,daily
UPI-Flipkart-REF830578,2203.16,Flipkart,30,0,one-time
NACH-BSNL-REF554668,4890.83,BSNL,20,0,one-time
CARD-CRED-REF621731,31930.2,CRED,35,0,one-time
CARD-Paytm-REF139426,697.4,Paytm,20,0,one-time
NEFT-EMPLOYER-REF509400,4343.46,,270,0,one-time
RECURRING-MONTHLY-UPI-JOHN DOE-2768040250@okhdfcbank,98039.26,,270,1,monthly
NACH-Byju's-REF358878,819.5,Byju's,20,0,one-time
IMPS-PERSON B-069226,7661.74,,272,0,one-time
RECURRING-WEEKLY-NEFT-Amazon-REF424263,4375.38,Amazon,39,1,weekly
NACH-CRED-REF244532,5788.49,CRED,37,0,one-time
IMPS-LIC-REF717867,2423.88,LIC,26,0,one-time
RTGS-BANK-REF902335,24206.11,,270,0,one-time
CARD-Moneycontrol-REF832279,10861.42,Moneycontrol,20,0,one-time
RTGS-APOLLO-REF300121,9293.8,Apollo,38,0,one-time
RECURRING-MONTHLY-RECURRING-MONTHLY-NACH-BigBasket-REF515552,1253.82,BigBasket,42,1,monthly
RTGS-STARBUCKS-REF810194,3471.74,Starbucks,33,0,one-time
CARD-28043834,2202.14,Udemy,39,0,one-time
RECURRING-WEEKLY-UPI-HP-REF625353,814.65,HP,20,1,weekly
UPI-PRIME VIDEO-1141351259@ybl-123143,45338.76,Prime Video,40,0,one-time
RECURRING-MONTHLY-NACH-Starbucks-REF386621,566.18,Starbucks,33,1,monthly
RECURRING-QUARTERLY-UPI-Byju's-REF642702,4498.52,Byju's,19,1,quarterly
NACH-TATA Power-REF197719,3091.75,TATA Power,20,0,one-time
UPI-JANE SMITH-1876231598@okhdfcbank,25839.66,,270,0,one-time
CARD-44342957,20970.36,,270,0,one-time
RECURRING-MONTHLY-IMPS-Practo-REF238331,5814.59,Practo,22,1,monthly
RECURRING-QUARTERLY-NACH-ICICI Pru-REF543800,8108.39,ICICI Pru,35,1,quarterly
RECURRING-WEEKLY-NACH-HDFC Life-REF535261,7813.61,HDFC Life,29,1,weekly
RECURRING-MONTHLY-IMPS-CRED-REF605972,16980.89,CRED,37,1,monthly
RTGS-Coursera-REF300454,4276.39,Coursera,31,0,one-time
RECURRING-QUARTERLY-NACH-Zerodha-REF925864,14474.38,Zerodha,32,1,quarterly
RECURRING-MONTHLY-RTGS-PayU-REF314551,32216.13,PayU,20,1,monthly
IMPS-PERSON B-050043,9235.55,Myntra,40,0,one-time
UPI-MakeMyTrip-REF823325,3115.95,MakeMyTrip,31,0,one-time
RECURRING-WEEKLY-NACH-Jio-REF776073,2235.0,Jio,26,1,weekly
RTGS-Blinkit-REF324461,689.11,Blinkit,35,0,one-time
CARD-Moneycontrol-REF832279,10861.42,Moneycontrol,20,0,one-time
NACH-COURSERA-032282,1676.95,Coursera,31,0,one-time
RTGS-BSNL-REF903506,1836.3,BSNL,20,0,one-time
RECURRING-QUARTERLY-NEFT-Medibuddy-REF431162,7753.89,Medibuddy,20,1,quarterly
NACH-HP-REF196413,1546.33,HP,20,0,one-time
RECURRING-MONTHLY-RECURRING-MONTHLY-RTGS-Cure.fit-REF997489,2342.88,Cure.fit,20,1,monthly
RTGS-BANK-REF758843,9266.32,,270,0,one-time
RECURRING-MONTHLY-IMPS-HP-REF478502,829.59,HP,20,1,monthly
UPI-Vodafone-REF717678,5281.54,Vodafone,20,0,one-time
RECURRING-DAILY-IMPS-Udemy-REF901180,2186.71,Udemy,40,1,daily
RECURRING-QUARTERLY-UPI-HP-REF752446,1513.45,HP,20,1,quarterly
IMPS-PERSON B-079174,460.8,KFC,37,0,one-time
RECURRING-MONTHLY-UPI-IRCTC-REF475538,5945.32,IRCTC,20,1,monthly
NEFT-Caltex-REF946763,1866.18,Caltex,20,0,one-time
IMPS-OYO-REF231614,13433.67,OYO,32,0,one-time
RECURRING-WEEKLY-RECURRING-MONTHLY-CARD-PayU-REF120891,38280.14,PayU,20,1,weekly
RECURRING-MONTHLY-UPI-BigBasket-REF929267,1584.39,BigBasket,36,1,monthly
RECURRING-MONTHLY-CARD-IOC-REF944849,1029.47,IOC,17,1,monthly
RTGS-Coursera-REF300454,4276.39,Coursera,31,0,one-time
NACH-PRIME VIDEO-966053,32673.68,Prime Video,40,0,one-time
CARD-Skyscanner-REF748978,13795.0,Skyscanner,29,0,one-time
UPI-MYNTRA-5857069509@ybl-644864,23845.87,Myntra,36,0,one-time
RECURRING-WEEKLY-RECURRING-QUARTERLY-RTGS-Indigo-REF883165,1070.89,Indigo,32,1,weekly
UPI-JANE SMITH-1876231598@okhdfcbank,26873.41,,270,0,one-time
UPI-Caltex-REF890879,1614.31,Caltex,20,0,one-time
RECURRING-QUARTERLY-IMPS-KFC-REF483370,1440.99,KFC,37,1,quarterly
IMPS-TATA Power-REF197129,2195.17,TATA Power,20,0,one-time
RECURRING-MONTHLY-UPI-Jio-REF116568,3462.14,Jio,26,1,monthly
RECURRING-MONTHLY-NACH-YouTube Premium-REF470750,859.96,YouTube Premium,20,1,monthly
IMPS-Indigo-REF768607,1213.03,Indigo,32,0,one-time
RECURRING-MONTHLY-RECURRING-MONTHLY-UPI-LANDLORD-1144647002@okhdfcbank,18332.71,,270,1,monthly
RECURRING-MONTHLY-UPI-JOHN DOE-2475634343@okhdfcbank,35169.35,,270,1,monthly
NEFT-EMPLOYER-REF136002,7068.16,,270,0,one-time
IMPS-Zomato-REF453885,538.78,Zomato,28,0,one-time
UPI-AMEX-5159078549@ybl-044649,12502.73,AmEx,13,0,one-time
CARD-50199579,15051.9,Apollo,38,0,one-time
RECURRING-MONTHLY-NACH-Swiggy-REF697250,383.3,Swiggy,33,1,monthly
NEFT-Reliance-REF722278,1414.88,Reliance,20,0,one-time
NACH-SHELL-281211,957.03,Shell,38,0,one-time
RECURRING-QUARTERLY-NACH-YouTube Premium-REF133741,709.22,YouTube Premium,20,1,quarterly
RTGS-Google Pay-REF596740,4252.95,Google Pay,20,0,one-time
RECURRING-MONTHLY-IMPS-Indigo-REF958165,1561.8,Indigo,32,1,monthly
CARD-22714336,21246.69,Skyscanner,29,0,one-time
RECURRING-WEEKLY-NEFT-IOC-REF689314,830.52,IOC,20,1,weekly
NACH-BSNL-REF589693,3765.35,BSNL,19,0,one-time
CARD-34751147,30988.62,,270,0,one-time
CARD-Shell-REF171904,1822.11,Shell,38,0,one-time
IMPS-Moneycontrol-REF298468,19471.46,Moneycontrol,20,0,one-time
RECURRING-QUARTERLY-CARD-Hotstar-REF208418,361.36,Hotstar,21,1,quarterly
IMPS-Uber-REF523784,12049.52,Uber,20,0,one-time
RECURRING-MONTHLY-UPI-Paytm-REF843791,638.67,Paytm,20,1,monthly
RECURRING-MONTHLY-IMPS-BigBasket-REF125063,1071.81,BigBasket,32,1,monthly
NACH-AIRTEL-693779,389.69,Airtel,35,0,one-time
UPI-ZERODHA-2435491803@ybl-744451,9866.19,Zerodha,32,0,one-time
CARD-Shell-REF171904,2030.56,Shell,36,0,one-time
RECURRING-MONTHLY-IMPS-Practo-REF238331,5814.59,Practo,20,1,monthly
RTGS-SHELL-REF781312,1542.56,Shell,38,0,one-time
UPI-LANDLORD-3208124594@okhdfcbank,25073.82,,270,0,one-time
RTGS-Caltex-REF530011,998.61,Caltex,19,0,one-time
NEFT-Spotify-REF881398,942.98,Spotify,48,0,one-time
NEFT-ZOMATO-REF611508,36147.63,Zomato,28,0,one-time
UPI-MAKEMYTRIP-3385005620@ybl-428066,17827.74,MakeMyTrip,33,0,one-time
RECURRING-MONTHLY-UPI-JOHN DOE-6980137521@okhdfcbank,12869.41,,270,1,monthly
NEFT-IOC-REF416766,1877.26,IOC,20,0,one-time
CARD-34743091,47187.78,Airtel,35,0,one-time
RECURRING-WEEKLY-IMPS-Spotify-REF320044,232.72,Spotify,48,1,weekly
RECURRING-WEEKLY-NEFT-Shell-REF257875,1192.28,Shell,38,1,weekly
CARD-06214591,1594.71,Shell,38,0,one-time
NACH-SWIGGY-265985,231.98,Swiggy,33,0,one-time
NACH-BESCOM-REF767029,1216.88,BESCOM,29,0,one-time
RECURRING-MONTHLY-CARD-Skyscanner-REF339921,5570.14,Skyscanner,29,1,monthly
RECURRING-MONTHLY-NACH-Kuvera-REF483945,12685.56,Kuvera,27,1,monthly
UPI-JANE SMITH-2167722205@okhdfcbank,2772.43,,270,0,one-time
NACH-SPOTIFY-443733,41244.12,Spotify,48,0,one-time
RECURRING-WEEKLY-UPI-PayU-REF572762,16897.26,PayU,22,1,weekly
IMPS-PERSON B-991446,29234.64,,270,0,one-time
NACH-ICICI Lombard-REF398095,2076.1,ICICI Lombard,20,0,one-time
NACH-MAKEMYTRIP-596410,49728.8,MakeMyTrip,31,0,one-time
NACH-ICICI Lombard-REF398095,2069.69,ICICI Lombard,20,0,one-time
UPI-LANDLORD-4392416664@okhdfcbank,1571.17,,270,0,one-time
UPI-JANE SMITH-8690795519@okhdfcbank,11903.9,,270,0,one-time
NEFT-Swiggy-REF778700,644.65,Swiggy,33,0,one-time
IMPS-Fortis-REF272342,3983.31,Fortis,32,0,one-time
RECURRING-MONTHLY-NACH-Fortis-REF109502,6867.41,Fortis,32,1,monthly
IMPS-Starbucks-REF517674,1247.78,Starbucks,33,0,one-time
UPI-JANE SMITH-5009030378@okhdfcbank,15637.74,,270,0,one-time
RECURRING-MONTHLY-RTGS-LinkedIn Learning-REF611799,4677.71,LinkedIn Learning,18,1,monthly
NEFT-UDEMY-REF150715,33159.24,Udemy,39,0,one-time
RECURRING-QUARTERLY-IMPS-KFC-REF481939,695.1,KFC,37,1,quarterly
CARD-BESCOM-REF961866,3917.27,BESCOM,29,0,one-time
NACH-NETFLIX-099843,49413.35,Netflix,47,0,one-time
RTGS-SWIGGY-REF808304,705.63,Swiggy,33,0,one-time
NEFT-Amazon-REF592690,1253.45,Amazon,39,0,one-time
NACH-NETFLIX-976247,19350.79,Netflix,47,0,one-time
NEFT-PayU-REF314448,9716.9,PayU,22,0,one-time
RECURRING-MONTHLY-RTGS-UDEMY-REF431271,12841.19,Udemy,39,1,monthly
IMPS-PERSON A-898204,2757.62,Fortis,32,0,one-time
NACH-NETFLIX-099843,49440.38,Netflix,52,0,one-time
NEFT-EMPLOYER-REF614969,13107.65,,270,0,one-time
RECURRING-MONTHLY-NACH-Upstox-REF184191,37225.61,Upstox,20,1,monthly
CARD-Apollo-REF737671,9635.29,Apollo,38,0,one-time
RECURRING-MONTHLY-UPI-SPOTIFY-8564388837@ybl-573406,812.6,Spotify,48,1,monthly
RECURRING-QUARTERLY-IMPS-YouTube Premium-REF170576,927.49,YouTube Premium,20,1,quarterly
RECURRING-MONTHLY-CARD-Skyscanner-REF339921,5570.14,Skyscanner,29,1,monthly
CARD-04643633,41303.8,,254,0,one-time
RECURRING-WEEKLY-NEFT-Spotify-REF477208,962.4,Spotify,48,1,weekly
NACH-INDIGO-748513,1696.53,Indigo,32,0,one-time
UPI-FORTIS-4120066433@ybl-102716,22858.49,Fortis,37,0,one-time
UPI-ZERODHA-4840683305@ybl-887967,2103.74,Zerodha,32,0,one-time
IMPS-PERSON A-337740,38911.42,,245,0,one-time
NEFT-ZEPTO-REF167781,953.43,Zepto,34,0,one-time
RECURRING-MONTHLY-RTGS-Google Pay-REF486841,4854.09,Google Pay,22,1,monthly
RECURRING-MONTHLY-IMPS-Vodafone-REF413460,4191.49,Vodafone,20,1,monthly
RECURRING-WEEKLY-RTGS-ICICI Lombard-REF275074,8921.41,ICICI Lombard,20,1,weekly
RECURRING-QUARTERLY-UPI-HP-REF752446,1509.39,HP,20,1,quarterly
UPI-BLINKIT-5666369023@ybl-642079,1777.11,Blinkit,35,0,one-time
UPI-Bajaj Allianz-REF298569,8413.37,Bajaj Allianz,20,0,one-time
RECURRING-WEEKLY-NACH-Upstox-REF385175,7487.64,Upstox,20,1,weekly
RECURRING-QUARTERLY-CARD-Moneycontrol-REF536570,29126.8,Moneycontrol,20,1,quarterly
RECURRING-MONTHLY-IMPS-Razorpay-REF255679,33970.17,Razorpay,20,1,monthly
UPI-LANDLORD-8261367723@okhdfcbank,1438.54,,270,0,one-time
UPI-GROWW-1336869411@ybl-790278,7204.44,Groww,31,0,one-time
CARD-19018734,417.18,BigBasket,36,0,one-time
RECURRING-WEEKLY-NEFT-Shell-REF257875,1410.8,Shell,38,1,weekly
RTGS-ZEPTO-REF593385,586.29,Zepto,34,0,one-time
UPI-HDFC Life-REF177120,7336.57,HDFC Life,32,0,one-time
CARD-60112861,54424.47,OYO,30,0,one-time
NACH-PROVIDER-862445,16739.91,,303,0,one-time
IMPS-Jio-REF317455,1505.25,Jio,22,0,one-time
RECURRING-MONTHLY-NACH-Groww-REF308631,45564.3,Groww,31,1,monthly
RECURRING-MONTHLY-NEFT-Zepto-REF386357,741.46,Zepto,34,1,monthly
RECURRING-MONTHLY-RECURRING-MONTHLY-NEFT-BigBasket-REF665850,2940.7,BigBasket,36,1,monthly
NACH-1mg-REF405402,9106.95,1mg,19,0,one-time
UPI-JANE SMITH-8690795519@okhdfcbank,10617.54,,217,0,one-time
RECURRING-MONTHLY-UPI-JANE SMITH-9182871223@okhdfcbank,110855.21,,270,1,monthly
IMPS-PERSON A-898204,2757.62,Fortis,32,0,one-time
NACH-Prime Video-REF868168,317.84,Prime Video,40,0,one-time
NEFT-Udemy-REF604692,1545.71,Udemy,43,0,one-time
NACH-PROVIDER-081789,48328.15,,270,0,one-time
IMPS-HDFC Life-REF711126,6474.21,HDFC Life,29,0,one-time
CARD-Skyscanner-REF748978,13795.0,Skyscanner,29,0,one-time
RECURRING-QUARTERLY-IMPS-Google Pay-REF793588,1817.97,Google Pay,20,1,quarterly
RTGS-Caltex-REF530011,998.61,Caltex,20,0,one-time
IMPS-PERSON B-674421,854.74,Blinkit,35,0,one-time
NACH-Kuvera-REF640860,24503.06,Kuvera,27,0,one-time
RECURRING-MONTHLY-UPI-JANE SMITH-0837908549@okhdfcbank,23500.8,,270,1,monthly
RECURRING-MONTHLY-IMPS-Vodafone-REF957405,2867.52,Vodafone,20,1,monthly
RTGS-AMAZON-REF060910,36561.49,Amazon,37,0,one-time
RTGS-TATA Power-REF686699,1465.26,TATA Power,20,0,one-time
IMPS-PERSON B-741666,1306.0,Shell,38,0,one-time
CARD-60845042,781.08,,270,0,one-time
RECURRING-MONTHLY-UPI-JOHN DOE-6980137521@okhdfcbank,12869.41,,270,1,monthly
NEFT-UBEREATS-REF677931,781.76,UberEats,29,0,one-time
NEFT-ICICI Pru-REF289331,3165.45,ICICI Pru,35,0,one-time
UPI-JANE SMITH-1729180768@okhdfcbank,28320.96,,270,0,one-time
UPI-PRIME VIDEO-9794343898@ybl-963033,18845.72,Prime Video,40,0,one-time
NACH-Google Pay-REF181327,4926.87,Google Pay,20,0,one-time
RECURRING-MONTHLY-RTGS-Swiggy-REF724807,264.51,Swiggy,33,1,monthly
CARD-LIC-REF501867,8235.33,LIC,26,0,one-time
RECURRING-WEEKLY-RECURRING-MONTHLY-RTGS-Prime Video-REF407005,647.51,Prime Video,36,1,weekly
RECURRING-MONTHLY-RTGS-Myntra-REF442174,4046.53,Myntra,36,1,monthly
RECURRING-MONTHLY-NACH-Upstox-REF184191,37225.61,Upstox,20,1,monthly
NEFT-FLIPKART-REF629586,34247.14,Flipkart,30,0,one-time
RECURRING-MONTHLY-CARD-Apollo-REF281595,4643.12,Apollo,35,1,monthly
RECURRING-WEEKLY-IMPS-Starbucks-REF865562,1326.42,Starbucks,33,1,weekly
UPI-AIRTEL-0114689646@ybl-936633,19434.37,Airtel,35,0,one-time
RECURRING-WEEKLY-UPI-HP-REF625353,814.65,HP,20,1,weekly
NACH-Blinkit-REF920571,1079.42,Blinkit,35,0,one-time
UPI-Amazon-REF615149,4186.28,Amazon,39,0,one-time
RECURRING-MONTHLY-NACH-Medibuddy-REF987957,7337.5,Medibuddy,20,1,monthly
RECURRING-MONTHLY-UPI-ICICI PRU-1295413384@ybl-662896,13369.02,ICICI Pru,39,1,monthly
RTGS-Spotify-REF408106,682.54,Spotify,48,0,one-time
UPI-Zepto-REF455485,1402.16,Zepto,38,0,one-time
UPI-BLINKIT-9854279055@ybl-207055,17404.56,Blinkit,35,0,one-time
RECURRING-MONTHLY-RECURRING-MONTHLY-RTGS-Airtel-REF623647,1384.13,Airtel,35,1,monthly
UPI-PRIME VIDEO-7379098146@ybl-558577,38571.51,Prime Video,40,0,one-time
RECURRING-MONTHLY-IMPS-Airtel-REF219234,4684.93,Airtel,35,1,monthly
NACH-PROVIDER-504553,29378.49,,270,0,one-time
CARD-81961007,761.51,BigBasket,35,0,one-time
IMPS-Caltex-REF419729,1500.19,Caltex,16,0,one-time
CARD-Cure.fit-REF247675,975.18,Cure.fit,20,0,one-time
RECURRING-MONTHLY-UPI-LANDLORD-5028486959@okhdfcbank,30102.75,,270,1,monthly
CARD-Shell-REF171904,1822.11,Shell,38,0,one-time
UPI-Bajaj Allianz-REF542793,9654.79,Bajaj Allianz,20,0,one-time
UPI-ICICI Pru-REF551245,7756.57,ICICI Pru,33,0,one-time
RTGS-Swiggy-REF862469,1328.96,Swiggy,27,0,one-time
UPI-JANE SMITH-5859075711@okhdfcbank,19466.15,,270,0,one-time
NACH-Prime Video-REF868168,355.34,Prime Video,40,0,one-time
UPI-BESCOM-REF964266,3159.82,BESCOM,29,0,one-time
NACH-PayU-REF618658,43361.15,PayU,20,0,one-time
RECURRING-MONTHLY-IMPS-Vodafone-REF413460,4191.49,Vodafone,20,1,monthly
RECURRING-DAILY-NEFT-Practo-REF195715,4452.38,Practo,17,1,daily
NEFT-INDIGO-REF058053,907.19,Indigo,32,0,one-time
UPI-CRED-9488906079@ybl-563937,14512.58,CRED,37,0,one-time
RTGS-OYO-REF265933,28445.67,OYO,25,0,one-time
UPI-LANDLORD-1805584557@okhdfcbank,35717.03,,270,0,one-time
NEFT-BLINKIT-REF394930,659.68,Blinkit,35,0,one-time
RECURRING-MONTHLY-RTGS-BookMyShow-REF982101,555.97,BookMyShow,20,1,monthly
CARD-IOC-REF130305,1757.49,IOC,20,0,one-time
NEFT-Amazon-REF592690,1210.46,Amazon,39,0,one-time
CARD-UberEats-REF911373,1284.8,UberEats,29,0,one-time
NEFT-STARBUCKS-REF851509,436.69,Starbucks,33,0,one-time
RTGS-AIRTEL-REF782517,49349.04,Airtel,35,0,one-time
RECURRING-MONTHLY-RECURRING-MONTHLY-UPI-Myntra-REF961930,4202.81,Myntra,36,1,monthly
CARD-Uber-REF207135,13783.2,Uber,20,0,one-time
NACH-INDIGO-446212,1498.87,Indigo,32,0,one-time
NACH-ZOMATO-563044,693.48,Zomato,28,0,one-time
NEFT-Shell-REF358685,900.82,Shell,38,0,one-time
UPI-ZERODHA-1550134465@ybl-361972,9450.54,Zerodha,32,0,one-time
RECURRING-MONTHLY-NEFT-Medibuddy-REF507698,3345.19,Medibuddy,20,1,monthly
RECURRING-MONTHLY-UPI-ICICI PRU-7302066593@ybl-674253,11689.96,ICICI Pru,28,1,monthly
NACH-Medibuddy-REF190650,10160.78,Medibuddy,20,0,one-time
RECURRING-MONTHLY-UPI-Ola-REF753750,10604.71,Ola,20,1,monthly
RECURRING-WEEKLY-RECURRING-QUARTERLY-CARD-Jio-REF182931,924.49,Jio,26,1,weekly
NEFT-UberEats-REF879887,591.48,UberEats,29,0,one-time
RECURRING-MONTHLY-RTGS-Indigo-REF780805,1614.65,Indigo,32,1,monthly
NACH-SWIGGY-071676,48475.93,Swiggy,33,0,one-time
CARD-Google Pay-REF137765,1494.87,Google Pay,20,0,one-time
UPI-Prime Video-REF732074,922.35,Prime Video,40,0,one-time
CARD-15485475,45732.25,Myntra,36,0,one-time
IMPS-Netflix-REF999435,819.32,Netflix,47,0,one-time
NACH-Unacademy-REF659454,1190.12,Unacademy,20,0,one-time
RECURRING-WEEKLY-NACH-Cure.fit-REF324898,1591.85,Cure.fit,20,1,weekly
RECURRING-MONTHLY-UPI-PayU-REF962850,41820.14,PayU,20,1,monthly
NEFT-OYO-REF904937,9490.35,OYO,30,0,one-time
RECURRING-MONTHLY-CARD-Zepto-REF869430,1712.63,Zepto,28,1,monthly
RECURRING-MONTHLY-IMPS-LinkedIn Learning-REF145150,1339.12,LinkedIn Learning,20,1,monthly
RECURRING-WEEKLY-RTGS-LinkedIn Learning-REF751959,2794.66,LinkedIn Learning,21,1,weekly
IMPS-Amazon-REF934548,1426.11,Amazon,39,0,one-time
IMPS-PhonePe-REF709320,2855.26,PhonePe,20,0,one-time
RECURRING-WEEKLY-NEFT-BookMyShow-REF869768,294.04,BookMyShow,21,1,weekly
NACH-PROVIDER-814396,2723.06,,270,0,one-time
CARD-BookMyShow-REF836537,385.47,BookMyShow,20,0,one-time
UPI-ZOMATO-4584588436@ybl-698180,266.44,Zomato,25,0,one-time
NACH-Zerodha-REF473080,7924.95,Zerodha,32,0,one-time
RECURRING-MONTHLY-IMPS-Blinkit-REF131191,1298.87,Blinkit,39,1,monthly
UPI-BSNL-REF713109,587.47,BSNL,20,0,one-time
RECURRING-DAILY-NACH-ICICI Lombard-REF780686,6108.05,ICICI Lombard,20,1,daily
RTGS-BANK-REF118147,4775.18,,270,0,one-time
NEFT-IRCTC-REF441033,7437.78,IRCTC,20,0,one-time
RECURRING-QUARTERLY-IMPS-KFC-REF481939,695.1,KFC,37,1,quarterly
CARD-Bajaj Allianz-REF727569,2159.5,Bajaj Allianz,20,0,one-time
UPI-JOHN DOE-7888265414@okhdfcbank,26221.49,,270,0,one-time
NACH-PROVIDER-942221,39275.59,,295,0,one-time
NACH-BSNL-REF554668,4188.72,BSNL,22,0,one-time
RECURRING-MONTHLY-UPI-HDFC LIFE-1340301895@ybl-464840,5002.39,HDFC Life,29,1,monthly
UPI-JOHN DOE-6605613279@okhdfcbank,7814.97,,270,0,one-time
CARD-Byju's-REF997802,3006.69,Byju's,20,0,one-time
NACH-ZOMATO-563044,693.48,Zomato,28,0,one-time
