narration,amount,direction,channel,merchant,intent,category
UPI-Bajaj Allianz-REF487752,3486.11,debit,upi,Bajaj Allianz,insurance,insurance
UPI-ICICI PRU-5072162750@ybl-853761,11831.86,debit,upi,ICICI Pru,insurance,insurance
IMPS-KFC-REF490522,665.79,debit,imps,KFC,food,dining
NACH-SHELL-281211,957.03,debit,nach,Shell,fuel,fuel
NEFT-Ola-REF505895,15877.74,debit,neft,Ola,travel,travel
UPI-UDEMY-8798258896@ybl-972632,19825.71,debit,upi,Udemy,education,education
NACH-Hotstar-REF171325,630.76,debit,nach,Hotstar,subscription,entertainment
NEFT-Airtel-REF214739,3309.27,debit,neft,Airtel,utilities,utilities
NACH-PROVIDER-999604,33092.59,debit,card,,cash_withdrawal,transfers
UPI-LANDLORD-7204238890@okhdfcbank,36649.92,debit,upi,,loan_payment,loans
NEFT-EMPLOYER-REF887804,16208.81,credit,neft,,income,salary
UPI-Unacademy-REF794133,2095.64,debit,upi,Unacademy,education,education
CARD-18603966,47460.91,credit,card,Netflix,cashback,entertainment
NEFT-BESCOM-REF475644,4924.47,debit,neft,BESCOM,utilities,utilities
IMPS-BookMyShow-REF420988,656.04,debit,imps,BookMyShow,entertainment,entertainment
UPI-LIC-0680914949@ybl-983880,13868.46,debit,upi,LIC,insurance,insurance
NACH-SHELL-077017,1644.54,debit,nach,Shell,fuel,fuel
NACH-MakeMyTrip-REF286506,9079.03,debit,nach,MakeMyTrip,travel,travel
UPI-Reliance-REF759561,1747.33,debit,upi,Reliance,fuel,fuel
NACH-Myntra-REF385402,3308.77,debit,nach,Myntra,shopping,shopping
IMPS-PERSON B-784043,35010.77,credit,imps,,income,salary
UPI-Vodafone-REF717212,1382.63,debit,upi,Vodafone,utilities,utilities
CARD-ICICI Lombard-REF892242,3352.02,debit,card,ICICI Lombard,insurance,insurance
UPI-Myntra-REF431876,3865.57,debit,upi,Myntra,shopping,shopping
UPI-LANDLORD-4077096602@okhdfcbank,10443.46,debit,upi,,peer_transfer,transfers
IMPS-YouTube Premium-REF674165,1119.73,debit,imps,YouTube Premium,subscription,entertainment
CARD-53970183,1034.05,credit,neft,,income,salary
RTGS-Hotstar-REF620986,405.0,debit,rtgs,Hotstar,subscription,entertainment
NACH-Amazon-REF560746,1814.06,debit,imps,Amazon,shopping,shopping
NACH-Unacademy-REF659454,1190.12,debit,nach,Unacademy,education,education
RTGS-SHELL-REF781312,1542.56,debit,rtgs,Shell,fuel,fuel
RTGS-UberEats-REF477903,1218.22,debit,rtgs,UberEats,food,food
UPI-Uber-REF600131,8159.48,debit,upi,Uber,travel,travel
IMPS-Apollo-REF538858,5660.79,debit,imps,Apollo,healthcare,healthcare
IMPS-PERSON B-328129,696.45,debit,imps,Swiggy,food,food
RTGS-IOC-REF877013,986.47,debit,rtgs,IOC,fuel,fuel
IMPS-PhonePe-REF709320,2855.26,debit,imps,PhonePe,shopping,shopping
UPI-ICICI PRU-4459657385@ybl-607636,3887.58,debit,upi,ICICI Pru,insurance,insurance
IMPS-PERSON A-242063,39644.61,debit,imps,,cash_withdrawal,transfers
NACH-Uber-REF506639,10663.09,debit,imps,Uber,travel,travel
CARD-ICICI Lombard-REF892242,3352.02,debit,imps,ICICI Lombard,insurance,insurance
NEFT-Netflix-REF228903,881.19,debit,neft,Netflix,subscription,entertainment
NEFT-HDFC Life-REF600711,5190.23,debit,imps,HDFC Life,insurance,insurance
IMPS-Spotify-REF320044,246.61,debit,imps,Spotify,subscription,entertainment
UPI-LANDLORD-2631351822@okhdfcbank,305.78,debit,upi,,peer_transfer,transfers
NEFT-EMPLOYER-REF953331,37608.8,debit,neft,,self_transfer,transfers
CARD-Groww-REF512278,28892.73,debit,card,Groww,investment,investments
UPI-JOHN DOE-5517816060@ybl,4841.51,debit,upi,,loan_payment,loans
RTGS-CRED-REF117455,40347.11,debit,rtgs,CRED,credit_card_payment,credit_card_payments
NEFT-Moneycontrol-REF834069,42946.98,debit,neft,Moneycontrol,investment,investments
RTGS-IRCTC-REF115911,2292.68,debit,rtgs,IRCTC,travel,travel
UPI-BESCOM-REF441006,4774.44,debit,card,BESCOM,utilities,utilities
NEFT-CRED-REF459253,9369.84,debit,neft,CRED,credit_card_payment,credit_card_payments
UPI-Uber-REF860381,12626.94,debit,upi,Uber,travel,travel
RTGS-Amazon-REF130339,1292.0,debit,rtgs,Amazon,shopping,shopping
IMPS-Swiggy-REF344279,382.3,debit,imps,Swiggy,food,food
NEFT-EMPLOYER-REF099216,43820.58,debit,neft,,cash_withdrawal,transfers
NACH-SPOTIFY-822760,28673.32,debit,nach,Spotify,entertainment,entertainment
UPI-ZERODHA-2435491803@ybl-744451,9277.63,debit,upi,Zerodha,investment,investments
UPI-NETFLIX-0957683750@ybl-759571,397.51,debit,neft,Netflix,subscription,subscriptions
NEFT-Groww-REF743418,22784.38,debit,neft,Groww,investment,investments
CARD-BESCOM-REF813610,677.0,debit,card,BESCOM,utilities,utilities
UPI-Amazon-REF858392,3504.82,debit,upi,Amazon,shopping,shopping
IMPS-Zepto-REF123608,2594.1,debit,imps,Zepto,grocery,groceries
UPI-ZERODHA-1202037494@ybl-526560,9597.82,debit,upi,Zerodha,investment,investments
INFOSYS-UPI-JOHN DOE-3542596187@okhdfcbank,91108.0,credit,upi,,salary,salary
CARD-Groww-REF116413,31048.91,debit,card,Groww,investment,investments
NEFT-Vodafone-REF873196,2823.31,debit,neft,Vodafone,utilities,utilities
NEFT-EMPLOYER-REF935208,26181.05,debit,neft,,emi_payment,emi
CARD-Apollo-REF916684,9094.52,debit,card,Apollo,healthcare,healthcare
UPI-JOHN DOE-2110183579@okhdfcbank,6701.56,debit,upi,,cash_withdrawal,transfers
UPI-BESCOM-6146866438@ybl-678053,41367.48,debit,upi,BESCOM,utilities,utilities
NEFT-BESCOM-REF213720,3782.35,debit,neft,BESCOM,utilities,utilities
NACH-Paytm-REF432843,1557.08,debit,nach,Paytm,shopping,shopping
RTGS-SKYSCANNER-REF810811,6258.83,debit,rtgs,Skyscanner,travel,travel
UPI-ICICI Lombard-REF943436,3734.92,debit,upi,ICICI Lombard,insurance,insurance
NACH-BESCOM-948787,39973.63,debit,nach,BESCOM,utilities,utilities
UPI-JANE SMITH-3713034785@okhdfcbank,518.5,debit,upi,,grocery,personal_care
UPI-JOHN DOE-8003919087@okhdfcbank,22846.15,debit,upi,,loan_payment,loans
CARD-19887280,7086.6,debit,card,Amazon,education,shopping
NACH-Hotstar-REF571422,381.67,debit,nach,Hotstar,subscription,entertainment
NACH-KFC-REF534967,1868.6,debit,nach,KFC,food,dining
UPI-1mg-REF986795,2218.84,debit,upi,1mg,healthcare,healthcare
RTGS-Zomato-REF877169,885.07,debit,rtgs,Zomato,food,food
NEFT-Myntra-REF513343,528.62,debit,neft,Myntra,shopping,shopping
NEFT-LinkedIn Learning-REF844255,2775.17,debit,neft,LinkedIn Learning,education,education
NEFT-IOC-REF403892,1417.6,debit,neft,IOC,fuel,fuel
UPI-MakeMyTrip-REF823325,3115.95,debit,upi,MakeMyTrip,travel,travel
RTGS-Shell-REF591133,1041.35,debit,upi,Shell,fuel,fuel
NEFT-Uber-REF396992,2135.1,debit,upi,Uber,travel,travel
CARD-68953184,20549.43,debit,neft,,education,personal_care
IMPS-Razorpay-REF912620,29300.25,debit,imps,Razorpay,credit_card_payment,credit_card_payments
NACH-MakeMyTrip-REF841727,11866.98,debit,nach,MakeMyTrip,travel,travel
NACH-YouTube Premium-REF548849,250.23,debit,nach,YouTube Premium,subscription,entertainment
PAYROLL-UPI-JOHN DOE-2768040250@okhdfcbank,107077.52,credit,upi,,salary,salary
IMPS-CRED-REF806769,40177.21,debit,imps,CRED,credit_card_payment,credit_card_payments
CARD-Groww-REF790241,28583.08,debit,card,Groww,investment,investments
NEFT-Hotstar-REF481677,734.49,debit,neft,Hotstar,subscription,entertainment
COMPANY-UPI-JOHN DOE-4982519826@okhdfcbank,84675.01,credit,upi,,salary,salary
NACH-UberEats-REF605882,884.09,debit,nach,UberEats,food,food
RTGS-STARBUCKS-REF991955,758.64,debit,imps,Starbucks,food,dining
NEFT-ZOMATO-REF611508,38181.0,credit,neft,Zomato,refund,food
UPI-Indigo-REF593294,1054.4,debit,upi,Indigo,fuel,fuel
NEFT-EMPLOYER-REF317344,6576.42,debit,neft,,self_transfer,transfers
NEFT-Shell-REF257875,1563.5,debit,neft,Shell,fuel,fuel
NEFT-EMPLOYER-REF765974,42334.55,credit,neft,,income,salary
RTGS-ICICI Pru-REF591764,3452.99,debit,rtgs,ICICI Pru,insurance,insurance
NEFT-BIGBASKET-REF227697,459.05,debit,neft,BigBasket,grocery,groceries
CARD-IOC-REF130305,1757.49,debit,card,IOC,fuel,fuel
NACH-Moneycontrol-REF691939,36518.66,debit,nach,Moneycontrol,investment,investments
CARD-Google Pay-REF855861,4204.97,debit,card,Google Pay,shopping,shopping
IMPS-Bajaj Allianz-REF836638,8428.93,debit,imps,Bajaj Allianz,insurance,insurance
NACH-Google Pay-REF181327,4940.39,debit,nach,Google Pay,shopping,shopping
NACH-Coursera-REF675661,4422.01,debit,nach,Coursera,education,education
RTGS-BigBasket-REF602887,2888.12,debit,rtgs,BigBasket,grocery,groceries
UPI-Reliance-REF759561,1747.33,debit,upi,Reliance,fuel,fuel
UPI-Shell-REF488212,1775.31,debit,card,Shell,fuel,fuel
NACH-Ola-REF429433,7500.2,debit,nach,Ola,travel,travel
UPI-PayU-REF962850,39790.32,debit,upi,PayU,credit_card_payment,credit_card_payments
CARD-07345522,33009.86,credit,card,Amazon,cashback,shopping
CARD-58773044,19539.36,credit,card,,income,salary
NACH-Apollo-REF532100,4492.59,debit,nach,Apollo,healthcare,healthcare
NEFT-EMPLOYER-REF120912,7664.67,debit,neft,,self_transfer,transfers
UPI-CRED-9064644210@ybl-578486,6123.44,debit,upi,CRED,credit_card_payment,credit_card_payments
NACH-Apollo-REF466764,2662.14,debit,nach,Apollo,healthcare,healthcare
NEFT-Practo-REF656544,6991.19,debit,neft,Practo,healthcare,healthcare
UPI-Blinkit-REF878246,918.2,debit,upi,Blinkit,grocery,groceries
SALARY-COMPANY-UPI-JANE SMITH-5024564424@okhdfcbank,102937.57,credit,upi,,salary,salary
IMPS-Udemy-REF300397,4879.54,debit,upi,Udemy,education,education
RTGS-IOC-REF360273,1709.65,debit,upi,IOC,fuel,fuel
UPI-PRIME VIDEO-5350909454@ybl-963033,18845.72,debit,upi,Prime Video,entertainment,entertainment
NEFT-Prime Video-REF283741,282.53,debit,imps,Prime Video,subscription,entertainment
UPI-CRED-2995718137@ybl-502141,20487.37,debit,upi,CRED,credit_card_payment,credit_card_payments
IMPS-Myntra-REF558911,2597.63,debit,imps,Myntra,shopping,shopping
UPI-FLIPKART-4145255693@ybl-255154,10350.39,credit,upi,Flipkart,refund,shopping
NEFT-Zerodha-REF956220,21614.07,debit,neft,Zerodha,investment,investments
IMPS-CRED-REF605972,16980.89,debit,imps,CRED,credit_card_payment,credit_card_payments
RTGS-PayU-REF183724,40056.03,debit,rtgs,PayU,credit_card_payment,credit_card_payments
NEFT-Moneycontrol-REF152801,40638.84,debit,upi,Moneycontrol,investment,investments
NEFT-Reliance-REF612487,1692.93,debit,neft,Reliance,fuel,fuel
RTGS-SPOTIFY-REF989721,53095.68,debit,rtgs,Spotify,entertainment,entertainment
NEFT-EMPLOYER-REF136002,8229.64,debit,neft,,self_transfer,transfers
IMPS-PERSON B-757188,9591.56,credit,imps,,income,salary
UPI-JANE SMITH-9385160250@okhdfcbank,16157.92,debit,upi,,loan_payment,loans
RTGS-Google Pay-REF483808,4778.37,debit,rtgs,Google Pay,shopping,shopping
NEFT-UDEMY-REF752358,33282.88,debit,neft,Udemy,education,education
UPI-ICICI PRU-5105578047@ybl-759256,8386.12,debit,card,ICICI Pru,insurance,insurance
CARD-41098620,612.53,debit,imps,Blinkit,grocery,groceries
INFOSYS-NACH-UDEMY-133950,98364.69,credit,nach,Udemy,salary,education
IMPS-HP-REF835665,2063.89,debit,imps,HP,fuel,fuel
CARD-CRED-REF649171,40022.58,debit,card,CRED,credit_card_payment,credit_card_payments
UPI-Bajaj Allianz-REF600048,6023.71,debit,upi,Bajaj Allianz,insurance,insurance
UPI-JANE SMITH-2380555919@okhdfcbank,44094.53,debit,upi,,peer_transfer,transfers
RTGS-UDEMY-REF431271,14728.27,debit,imps,Udemy,insurance,education
UPI-NETFLIX-3529838408@ybl-159195,797.52,debit,upi,Netflix,subscription,subscriptions
CARD-CRED-REF172258,5490.54,debit,card,CRED,credit_card_payment,credit_card_payments
RTGS-BESCOM-REF836168,36736.96,debit,rtgs,BESCOM,utilities,utilities
IMPS-PhonePe-REF367189,2158.08,debit,imps,PhonePe,shopping,shopping
IMPS-Fortis-REF441487,5977.93,debit,imps,Fortis,healthcare,healthcare
IMPS-Moneycontrol-REF936328,11118.46,debit,imps,Moneycontrol,investment,investments
CARD-HDFC Life-REF357410,4994.33,debit,card,HDFC Life,insurance,insurance
RTGS-BSNL-REF202172,2311.45,debit,imps,BSNL,utilities,utilities
RTGS-BESCOM-REF127462,17131.87,debit,imps,BESCOM,utilities,utilities
NEFT-ICICI Pru-REF289331,3165.45,debit,neft,ICICI Pru,insurance,insurance
IMPS-Vodafone-REF957405,3098.85,debit,imps,Vodafone,utilities,utilities
UPI-Groww-REF205643,18163.98,debit,neft,Groww,investment,investments
NACH-Paytm-REF432843,1467.19,debit,nach,Paytm,shopping,shopping
NEFT-EMPLOYER-REF118736,30261.57,credit,neft,,income,salary
UPI-SPOTIFY-7511941163@ybl-477278,421.06,debit,upi,Spotify,subscription,subscriptions
IMPS-LIC-REF856554,2423.33,debit,imps,LIC,insurance,insurance
NACH-BESCOM-REF259432,2960.05,debit,nach,BESCOM,utilities,utilities
UPI-BigBasket-REF929267,1571.77,debit,upi,BigBasket,grocery,groceries
NEFT-Groww-REF836755,12446.48,debit,neft,Groww,investment,investments
UPI-HP-REF625353,814.65,debit,card,HP,fuel,fuel
UPI-Uber-REF517801,12285.55,debit,neft,Uber,travel,travel
IMPS-PERSON B-366060,8449.23,debit,imps,Fortis,healthcare,healthcare
RTGS-Spotify-REF926329,849.91,debit,rtgs,Spotify,subscription,entertainment
NACH-Reliance-REF690980,880.01,debit,nach,Reliance,fuel,fuel
UPI-AMEX-8845474614@ybl-936688,16043.03,debit,upi,AmEx,credit_card_payment,credit_card_payments
IMPS-Moneycontrol-REF298468,19471.46,debit,imps,Moneycontrol,investment,investments
RTGS-BANK-REF384460,18543.43,credit,rtgs,,income,salary
IMPS-YouTube Premium-REF170576,927.49,debit,imps,YouTube Premium,subscription,entertainment
UPI-JANE SMITH-9154745006@ybl,34323.21,credit,upi,,income,salary
NACH-PROVIDER-395764,104.27,debit,card,,emi_payment,emi
CARD-44336742,19466.98,debit,card,Fortis,healthcare,healthcare
NACH-ZEPTO-546142,892.75,debit,upi,Zepto,grocery,groceries
NEFT-IOC-REF335295,1958.18,debit,card,IOC,fuel,fuel
NACH-Udemy-REF723534,4646.32,debit,nach,Udemy,education,education
IMPS-PERSON B-395187,455.73,debit,imps,UberEats,food,food
IMPS-Caltex-REF215292,1877.55,debit,imps,Caltex,fuel,fuel
UPI-Shell-REF535522,1436.91,debit,upi,Shell,fuel,fuel
IMPS-Caltex-REF419729,1500.19,debit,imps,Caltex,fuel,fuel
IMPS-CRED-REF708071,17356.26,debit,imps,CRED,credit_card_payment,credit_card_payments
IMPS-Shell-REF619811,589.84,debit,imps,Shell,fuel,fuel
IMPS-PERSON A-117037,45621.41,credit,imps,,income,salary
NACH-Unacademy-REF104439,2772.01,debit,nach,Unacademy,education,education
NEFT-Unacademy-REF999127,1453.82,debit,neft,Unacademy,education,education
UPI-Zomato-REF253446,1366.16,debit,upi,Zomato,food,food
RTGS-PRIME VIDEO-REF601411,16022.54,debit,rtgs,Prime Video,entertainment,entertainment
NEFT-Fortis-REF694437,6320.58,debit,neft,Fortis,healthcare,healthcare
NACH-Swiggy-REF508737,1305.04,debit,nach,Swiggy,food,food
NACH-Medibuddy-REF791053,5960.85,debit,nach,Medibuddy,healthcare,healthcare
NACH-PROVIDER-081789,48364.02,debit,nach,,emi_payment,emi
COMPANY-UPI-JANE SMITH-0957763063@okhdfcbank,77581.95,credit,upi,,salary,salary
UPI-KUVERA-9266065516@ybl-939080,3255.45,debit,upi,Kuvera,investment,investments
UPI-Shell-REF535522,1436.91,debit,upi,Shell,fuel,fuel
NEFT-Starbucks-REF932085,1044.95,debit,neft,Starbucks,food,dining
INFOSYS-NACH-UDEMY-133950,100434.29,credit,nach,Udemy,salary,education
RTGS-KFC-REF533591,432.31,debit,rtgs,KFC,food,dining
UPI-ZERODHA-6199168467@ybl-220762,7513.7,debit,upi,Zerodha,investment,investments
CARD-Caltex-REF277541,999.8,debit,card,Caltex,fuel,fuel
UPI-CRED-2995718137@ybl-502141,20487.37,debit,imps,CRED,credit_card_payment,credit_card_payments
UPI-LANDLORD-0746915640@ybl,28996.49,debit,upi,,rent,rent
NEFT-Netflix-REF216299,395.71,debit,card,Netflix,subscription,entertainment
UPI-Vodafone-REF717212,1434.33,debit,upi,Vodafone,utilities,utilities
IMPS-Netflix-REF999435,829.29,debit,card,Netflix,subscription,entertainment
CARD-Skyscanner-REF339921,5570.14,debit,card,Skyscanner,travel,travel
RTGS-Razorpay-REF553645,28830.94,debit,rtgs,Razorpay,credit_card_payment,credit_card_payments
NEFT-EMPLOYER-REF222576,31978.66,credit,neft,,income,salary
NEFT-SPOTIFY-REF224811,45142.16,debit,neft,Spotify,entertainment,entertainment
RTGS-Airtel-REF803428,2544.16,debit,rtgs,Airtel,utilities,utilities
NEFT-Reliance-REF561235,1303.2,debit,neft,Reliance,fuel,fuel
UPI-Skyscanner-REF603906,12109.72,debit,upi,Skyscanner,travel,travel
NEFT-Reliance-REF722278,1414.88,debit,neft,Reliance,fuel,fuel
NEFT-PhonePe-REF788316,4941.27,debit,neft,PhonePe,shopping,shopping
COMPANY-UPI-JANE SMITH-5024564424@okhdfcbank,106761.92,credit,upi,,salary,salary
IMPS-Fortis-REF934280,3191.53,debit,imps,Fortis,healthcare,healthcare
UPI-CRED-5702711595@ybl-982848,20772.21,debit,upi,CRED,credit_card_payment,credit_card_payments
CARD-Apollo-REF945917,2077.71,debit,card,Apollo,healthcare,healthcare
IMPS-Starbucks-REF865562,1326.42,debit,imps,Starbucks,food,dining
RTGS-Blinkit-REF324461,706.55,debit,rtgs,Blinkit,grocery,groceries
CARD-Prime Video-REF951985,287.46,debit,card,Prime Video,subscription,entertainment
CARD-Medibuddy-REF970726,10529.13,debit,card,Medibuddy,healthcare,healthcare
UPI-Spotify-REF656868,964.64,debit,upi,Spotify,subscription,entertainment
RTGS-ZEPTO-REF281092,766.31,debit,rtgs,Zepto,grocery,groceries
RTGS-Hotstar-REF370060,336.13,debit,rtgs,Hotstar,subscription,entertainment
RTGS-KFC-REF567075,1816.74,debit,rtgs,KFC,food,dining
NACH-INDIGO-446212,1458.78,debit,nach,Indigo,fuel,fuel
IMPS-PERSON B-784043,35010.77,credit,neft,,income,salary
IMPS-KFC-REF490522,585.71,debit,imps,KFC,food,dining
UPI-ZERODHA-0638691670@ybl-073356,6755.22,debit,upi,Zerodha,investment,investments
UPI-ZERODHA-3424259616@ybl-526560,9197.29,debit,upi,Zerodha,investment,investments
NEFT-IRCTC-REF485800,10527.2,debit,neft,IRCTC,travel,travel
UPI-UDEMY-9386708064@ybl-100846,4160.26,debit,upi,Udemy,education,education
UPI-LinkedIn Learning-REF160230,3000.93,debit,upi,LinkedIn Learning,education,education
IMPS-Zepto-REF852916,1550.88,debit,imps,Zepto,grocery,groceries
CARD-22833859,34084.66,debit,card,Apollo,healthcare,healthcare
UPI-Apollo-REF434346,9977.65,debit,upi,Apollo,healthcare,healthcare
NEFT-Reliance-REF612487,1976.52,debit,neft,Reliance,fuel,fuel
IMPS-Zepto-REF542667,2246.96,debit,imps,Zepto,grocery,groceries
NACH-CRED-REF977830,21452.44,debit,nach,CRED,credit_card_payment,credit_card_payments
NACH-Caltex-REF413214,1760.56,debit,nach,Caltex,fuel,fuel
NACH-LinkedIn Learning-REF131276,3640.3,debit,nach,LinkedIn Learning,education,education
UPI-Hotstar-REF293177,896.91,debit,upi,Hotstar,subscription,entertainment
CARD-Bajaj Allianz-REF549074,8464.62,debit,card,Bajaj Allianz,insurance,insurance
NEFT-EMPLOYER-REF118736,30261.57,credit,neft,,income,salary
UPI-JOHN DOE-6541376725@okhdfcbank,31622.76,debit,upi,,rent,rent
CARD-26364567,30656.86,credit,card,Prime Video,cashback,entertainment
RTGS-BANK-REF102118,25979.06,debit,rtgs,,education,personal_care
IMPS-Shell-REF391159,711.87,debit,imps,Shell,fuel,fuel
IMPS-Cure.fit-REF203945,1984.69,debit,imps,Cure.fit,healthcare,personal_care
NACH-HP-REF196413,1794.52,debit,upi,HP,fuel,fuel
NACH-Zerodha-REF155748,40180.45,debit,nach,Zerodha,investment,investments
NEFT-Byju's-REF296213,793.89,debit,neft,Byju's,education,education
CARD-19887280,6959.45,debit,card,Amazon,education,shopping
NACH-SHELL-941460,1051.16,debit,nach,Shell,fuel,fuel
RTGS-UDEMY-REF431271,14728.27,debit,rtgs,Udemy,insurance,education
IMPS-Myntra-REF946185,3866.33,debit,imps,Myntra,shopping,shopping
IMPS-PERSON B-159330,278.95,debit,imps,Blinkit,grocery,groceries
UPI-SPOTIFY-4443310707@ybl-083526,839.46,debit,imps,Spotify,subscription,subscriptions
CARD-LIC-REF622527,6223.6,debit,card,LIC,insurance,insurance
NEFT-EMPLOYER-REF118736,30261.57,credit,neft,,income,salary
UPI-LANDLORD-4392416664@ybl,1571.17,debit,neft,,loan_payment,loans
NACH-HDFC Life-REF904403,9028.48,debit,nach,HDFC Life,insurance,insurance
UPI-Uber-REF435819,14224.11,debit,upi,Uber,travel,travel
RTGS-BANK-REF367491,4556.37,credit,rtgs,,income,salary
CARD-BESCOM-REF843854,4052.96,debit,card,BESCOM,utilities,utilities
IMPS-BigBasket-REF411790,1176.02,debit,imps,BigBasket,grocery,groceries
NACH-PayU-REF618658,46491.7,debit,nach,PayU,credit_card_payment,credit_card_payments
NACH-Paytm-REF402380,4179.4,debit,nach,Paytm,shopping,shopping
RTGS-Zomato-REF877169,885.07,debit,rtgs,Zomato,food,food
NEFT-Bajaj Allianz-REF225826,8475.74,debit,neft,Bajaj Allianz,insurance,insurance
SALARY-UPI-JANE SMITH-8687593586@okhdfcbank,78979.64,credit,upi,,salary,salary
NEFT-PayU-REF468715,7809.78,debit,neft,PayU,credit_card_payment,credit_card_payments
RTGS-IOC-REF360273,1709.65,debit,rtgs,IOC,fuel,fuel
NEFT-Hotstar-REF146579,177.63,debit,neft,Hotstar,subscription,entertainment
IMPS-PERSON B-362714,440.91,debit,imps,Swiggy,food,food
UPI-FLIPKART-8008443555@ybl-324449,7413.01,debit,upi,Flipkart,education,shopping
NEFT-Moneycontrol-REF669455,45607.56,debit,card,Moneycontrol,investment,investments
RTGS-Zomato-REF614551,1449.8,debit,rtgs,Zomato,food,food
NEFT-STARBUCKS-REF126485,774.95,debit,neft,Starbucks,food,dining
NEFT-EMPLOYER-REF614969,13107.65,debit,neft,,emi_payment,emi
NACH-LinkedIn Learning-REF653969,1243.46,debit,nach,LinkedIn Learning,education,education
UPI-MYNTRA-5740649869@ybl-464903,18868.66,credit,upi,Myntra,refund,shopping
NEFT-EMPLOYER-REF749209,8228.61,debit,neft,,credit_card_payment,personal_care
NACH-PayU-REF618658,46491.7,debit,nach,PayU,credit_card_payment,credit_card_payments
NEFT-BookMyShow-REF330695,796.58,debit,neft,BookMyShow,entertainment,entertainment
UPI-HP-REF625353,814.77,debit,neft,HP,fuel,fuel
NEFT-Moneycontrol-REF152801,35838.25,debit,neft,Moneycontrol,investment,investments
GOOGLE-UPI-LANDLORD-9585113878@okhdfcbank,73762.19,credit,upi,,salary,salary
CARD-Vodafone-REF141415,2982.71,debit,card,Vodafone,utilities,utilities
NEFT-Hotstar-REF481677,734.49,debit,neft,Hotstar,subscription,entertainment
UPI-JANE SMITH-1799399069@okhdfcbank,36726.35,debit,upi,,peer_transfer,transfers
COMPANY-UPI-JANE SMITH-5024564424@okhdfcbank,91905.72,credit,upi,,salary,salary
UPI-Flipkart-REF178181,1958.65,debit,upi,Flipkart,shopping,shopping
NEFT-Spotify-REF881398,942.98,debit,neft,Spotify,subscription,entertainment
UPI-ZERODHA-6199168467@ybl-220762,8058.31,debit,upi,Zerodha,investment,investments
UPI-BIGBASKET-4499263254@ybl-273359,501.12,debit,upi,BigBasket,grocery,groceries
NEFT-Moneycontrol-REF897251,11516.55,debit,neft,Moneycontrol,investment,investments
NACH-INDIGO-586461,1100.22,debit,nach,Indigo,fuel,fuel
NEFT-Apollo-REF949242,5147.32,debit,imps,Apollo,healthcare,healthcare
UPI-LANDLORD-2433852964@okhdfcbank,7865.96,debit,upi,,cash_withdrawal,transfers
RTGS-NETFLIX-REF219619,33165.84,debit,rtgs,Netflix,entertainment,entertainment
RTGS-BIGBASKET-REF917751,34103.97,credit,card,BigBasket,refund,groceries
IMPS-Razorpay-REF255679,33970.17,debit,imps,Razorpay,credit_card_payment,credit_card_payments
UPI-AMEX-4316527077@ybl-836894,16038.35,debit,upi,AmEx,credit_card_payment,credit_card_payments
IMPS-Coursera-REF653579,1393.5,debit,imps,Coursera,education,education
IMPS-Uber-REF523784,12049.52,debit,imps,Uber,travel,travel
IMPS-Unacademy-REF380368,864.45,debit,imps,Unacademy,education,education
NACH-MakeMyTrip-REF841727,11866.98,debit,nach,MakeMyTrip,travel,travel
UPI-CRED-5575686511@ybl-669703,22416.06,debit,upi,CRED,credit_card_payment,credit_card_payments
RTGS-Kuvera-REF735952,28744.26,debit,rtgs,Kuvera,investment,investments
UPI-JOHN DOE-1173472626@okhdfcbank,4425.73,debit,upi,,loan_payment,loans
NACH-APOLLO-424788,11639.4,debit,nach,Apollo,healthcare,healthcare
UPI-Airtel-REF128321,2535.13,debit,upi,Airtel,utilities,utilities
UPI-Starbucks-REF344337,434.99,debit,upi,Starbucks,food,dining
NEFT-PhonePe-REF949506,4154.73,debit,neft,PhonePe,shopping,shopping
UPI-Prime Video-REF732074,997.73,debit,upi,Prime Video,subscription,entertainment
NEFT-Reliance-REF722278,1414.88,debit,neft,Reliance,fuel,fuel
IMPS-Indigo-REF958165,1550.97,debit,imps,Indigo,fuel,fuel
UPI-NETFLIX-1055937934@ybl-651281,960.23,debit,upi,Netflix,subscription,subscriptions
UPI-CRED-5575686511@ybl-669703,21888.57,debit,upi,CRED,credit_card_payment,credit_card_payments
RTGS-BANK-REF687395,38833.11,credit,rtgs,,income,salary
EMPLOYER-SALARY-UPI-LANDLORD-3216499065@okhdfcbank,80212.96,credit,upi,,salary,salary
NEFT-Udemy-REF199107,4820.89,debit,neft,Udemy,education,education
NEFT-Myntra-REF488183,3492.48,debit,neft,Myntra,shopping,shopping
NEFT-IRCTC-REF390733,9878.07,debit,neft,IRCTC,travel,travel
NACH-Unacademy-REF104439,2772.01,debit,nach,Unacademy,education,education
UPI-Ola-REF753750,10604.71,debit,upi,Ola,travel,travel
NEFT-BookMyShow-REF194913,746.23,debit,neft,BookMyShow,entertainment,entertainment
RTGS-CRED-REF117455,38644.7,debit,rtgs,CRED,credit_card_payment,credit_card_payments
UPI-KFC-1416514627@ybl-457009,46185.19,debit,upi,KFC,emi_payment,dining
RTGS-Netflix-REF481272,846.62,debit,rtgs,Netflix,subscription,entertainment
RTGS-BANK-REF794929,34369.64,debit,rtgs,,self_transfer,transfers
UPI-BESCOM-REF441006,4455.88,debit,upi,BESCOM,utilities,utilities
